municipality_geojson,section_1,section_2,section_3,section_4,section_5,section_6,excluded,total
Dinant,,,17.0,51.0,,,114.0,182
Dison,,39.0,,,,,11.0,50
Doische,,,67.0,,,,,67
Donceel,,,,,21.0,,,21
Dour,,,,,103.0,,,103
Drogenbos,,,,,,,79.0,79
Duffel,,,92.0,,,,38.0,130
Durbuy,,,,230.0,,,3.0,233
Edegem,,,25.0,,,,66.0,91
Eeklo,,,,,,,222.0,222
Ellezelles,12.0,,12.0,,,,54.0,78
Enghien,,,106.0,,,,,106
Engis,,,,71.0,3.0,,2.0,76
Erpe-Mere,1.0,,,3.0,,,167.0,171
Erquelinnes,,86.0,,,,,,86
Esneux,,,,3.0,,5.0,106.0,114
Essen,,,,,115.0,,,115
Estaimpuis,229.0,,,,,,,229
Estinnes,,97.0,,,,,,97
Etterbeek,,,,,,,207.0,207
Eupen,,,,,,,260.0,260
Evere,,,,,,,219.0,219
Evergem,,,76.0,,,,265.0,341
Faimes,,,,,30.0,,,30
Farciennes,,,,49.0,,,2.0,51
Fauvillers,1.0,,,,,,57.0,58
Fernelmont,,,90.0,1.0,,,26.0,117
Ferrières,,,,99.0,,,,99
Fexhe-le-Haut-Clocher,,,,,27.0,,,27
Fleurus,,,,29.0,,1.0,128.0,158
Flobecq,,,40.0,,,,,40
Floreffe,,,81.0,,,,20.0,101
Florennes,,,132.0,,,,12.0,144
Florenville,124.0,,,,,,,124
Flémalle,,,,12.0,171.0,,,183
Fléron,,,,,,99.0,1.0,100
Fontaine-l'Évêque,,,,1.0,,113.0,5.0,119
Forest,,,,,,,263.0,263
Fosses-la-Ville,,,113.0,1.0,,,6.0,120
Frameries,,33.0,,,70.0,,,103
Frasnes-lez-Anvaing,96.0,,,,,,76.0,172
Froidchapelle,,,75.0,,,,3.0,78
Galmaarden,,,,72.0,,,,72
Ganshoren,,,,,,,82.0,82
Gavere,,,,,,1.0,131.0,132
Gedinne,51.0,,33.0,,,,,84
Geel,,,,,,,366.0,366
Geer,,,,,35.0,,,35
Geetbets,,,,,58.0,,,58
Gembloux,,,237.0,,,,8.0,245
Genappe,132.0,,,1.0,,,,133
Genk,,,,,,,551.0,551
Gent,,,329.0,,,365.0,1147.0,1841
Geraardsbergen,,,2.0,276.0,,,8.0,286
Gerpinnes,,,107.0,,,,19.0,126
Gesves,,,1.0,191.0,,,,192
Gingelom,,,,,,,42.0,42
Gistel,,,,,114.0,,,114
Glabbeek,,,,,50.0,,1.0,51
Gooik,,,,75.0,,,,75
Gouvy,,124.0,,,,,,124
Grez-Doiceau,83.0,,,,,,55.0,138
Grimbergen,,,,,,,235.0,235
Grobbendonk,,,118.0,,,,3.0,121
Grâce-Hollogne,,,,,170.0,1.0,,171
Haacht,,128.0,,,,,1.0,129
Haaltert,,,,,,,110.0,110
Habay,94.0,,,,,,,94
Halen,,,,,,,77.0,77
Halle,,,,1.0,,,257.0,258
Ham,,,,,,,68.0,68
Ham-sur-Heure-Nalinnes,,,,,,66.0,65.0,131
Hamme,,,,,,,213.0,213
Hamoir,,,,67.0,,,,67
Hamois,,,,130.0,,,,130
Hamont-Achel,,,,109.0,,,,109
Hannut,,,,,162.0,,,162
Harelbeke,,,,1.0,,,294.0,295
Hasselt,,1.0,,,,,568.0,569
Hastière,,,125.0,,,,1.0,126
Havelange,,,,137.0,,,,137
Hechtel-Eksel,,68.0,,4.0,,,,72
Heers,,,,,,,37.0,37
Heist-op-den-Berg,,29.0,,,,,358.0,387
Hemiksem,,,,,,,48.0,48
Hensies,,,,,44.0,,,44
Herbeumont,36.0,,,,,,,36
Herent,,47.0,,,,,105.0,152
Herentals,76.0,,123.0,,,,126.0,325
Herenthout,,,78.0,,,,1.0,79
Herk-de-Stad,,,,,,,86.0,86
Herne,,,,71.0,,,,71
Herselt,,,,,,119.0,13.0,132
Herstal,,3.0,,,25.0,263.0,47.0,338
Herstappe,,,,,,,1.0,1
Herve,,257.0,,,,3.0,51.0,311
Herzele,,,,111.0,,,6.0,117
Heusden-Zolder,,184.0,,,,,,184
Heuvelland,,,,,,,144.0,144
Hoegaarden,,61.0,,,,,1.0,62
Hoeilaart,,,,,78.0,,,78
Hoeselt,,,,,,56.0,10.0,66
Holsbeek,,,,,,19.0,56.0,75
Honnelles,,,,,66.0,,,66
Hooglede,,,,,68.0,,72.0,140
Hoogstraten,,,,,286.0,,25.0,311
Horebeke,,,5.0,,,,24.0,29
Hotton,,,,94.0,,,,94
Houffalize,,114.0,,17.0,,,28.0,159
Houthalen-Helchteren,,169.0,,,,,30.0,199
Houthulst,,,,,,,135.0,135
Houyet,6.0,,83.0,,,,49.0,138
Hove,,,6.0,,,,26.0,32
Huldenberg,85.0,,,,,,1.0,86
Hulshout,,,,,,1.0,99.0,100
Huy,,,,51.0,9.0,,129.0,189
Hélécine,,23.0,,,,,,23
Héron,,,,49.0,,,,49
Ichtegem,,,,,170.0,,,170
Ieper,,,,,,,520.0,520
Incourt,,42.0,,,,,3.0,45
Ingelmunster,,,,,,,154.0,154
Ittre,,,62.0,3.0,,,,65
Ixelles,,,,,,,389.0,389
Izegem,,,,,,,376.0,376
Jabbeke,,,,,159.0,,,159
Jalhay,,38.0,,,,,2.0,40
Jemeppe-sur-Sambre,,,13.0,,,,146.0,159
Jette,,,,,,,149.0,149
Jodoigne,,119.0,,,,,,119
Juprelle,,,,,50.0,5.0,,55
Jurbise,,,,,102.0,,,102
Kalmthout,,,,,129.0,,,129
Kampenhout,,85.0,,,,,41.0,126
Kapelle-op-den-Bos,,,,,63.0,,,63
Kapellen,,,,,146.0,,,146
Kaprijke,,,,,,,74.0,74
Kasterlee,153.0,,,,,,5.0,158
Keerbergen,,84.0,,,,,13.0,97
Kinrooi,,,,6.0,,84.0,,90
Kluisbergen,,,2.0,,,,94.0,96
Knesselare,,,,,,84.0,4.0,88
Knokke-Heist,,,,,,,458.0,458
Koekelare,,,,,68.0,,22.0,90
Koekelberg,,,,,,,80.0,80
Koksijde,,,,,1.0,,375.0,376
Kontich,,,176.0,,,,13.0,189
Kortemark,,,,,2.0,,185.0,187
Kortenaken,,,,,69.0,,,69
Kortenberg,25.0,,,19.0,,,112.0,156
Kortessem,,,,,,21.0,33.0,54
Kortrijk,,,,25.0,,,868.0,893
Kraainem,,,,9.0,,,60.0,69
Kruibeke,,,,,,,122.0,122
Kruishoutem,,,20.0,,,,141.0,161
Kuurne,,,,141.0,,,40.0,181
L'Église,75.0,,,,,,3.0,78
La Bruyère,,,93.0,,,,1.0,94
La Calamine (Kelmis),,83.0,,,,,4.0,87
La Hulpe,34.0,,,,17.0,,,51
La Louvière,,153.0,9.0,,,,250.0,412
La Roche-en-Ardenne,25.0,44.0,,100.0,,,,169
Laakdal,,,,,,,114.0,114
Laarne,9.0,,,,,98.0,,107
Lanaken,,,,,,6.0,141.0,147
Landen,,128.0,,,,,1.0,129
Langemark-Poelkapelle,,,,,,,131.0,131
Lasne,166.0,,,,,,,166
Le Roeulx,,75.0,1.0,,,,18.0,94
Lebbeke,,71.0,55.0,,,,21.0,147
Lede,131.0,,,,,,,131
Ledegem,,,,,,,127.0,127
Lendelede,,,,,,,61.0,61
Lennik,,,,,83.0,,1.0,84
Lens,,,,,51.0,,,51
Leopoldsburg,,72.0,,,,,2.0,74
Les Bons Villers,,,,86.0,,,8.0,94
Lessines,7.0,,131.0,,,,2.0,140
Leuven,,,,,,,833.0,833
Leuze-en-Hainaut,101.0,,,,18.0,,,119
Libin,107.0,,13.0,,,,,120
Libramont-Chevigny,176.0,,,,,,,176
Lichtervelde,,,,,101.0,,2.0,103
Liedekerke,,,,,62.0,,,62
Lier,,,2.0,,,,278.0,280
Lierde,,,,53.0,,,,53
Lierneux,,87.0,,,,,,87
Lille,159.0,,,,,,2.0,161
Limbourg,,,,,,,73.0,73
Lincent,,25.0,,,,,,25
Linkebeek,,,,,23.0,,2.0,25
Lint,,,29.0,,,,2.0,31
Linter,,20.0,,,28.0,,1.0,49
Liège,,37.0,,,65.0,298.0,892.0,1292
Lo-Reninge,,,,,,,94.0,94
Lobbes,,79.0,,,,,,79
Lochristi,,,,,,41.0,187.0,228
Lokeren,165.0,,,,,1.0,228.0,394
Lommel,,,,221.0,,,1.0,222
Londerzeel,,,96.0,,69.0,,,165
Lontzen,,56.0,,,,,60.0,116
Lovendegem,,,,,,,81.0,81
Lubbeek,,,,,10.0,,103.0,113
Lummen,,76.0,,,,,35.0,111
Maarkedal,,,57.0,,,,41.0,98
Maaseik,,,,,,163.0,,163
Maasmechelen,,,,,,215.0,3.0,218
Machelen,,,,,,,197.0,197
Maldegem,,,,,,36.0,236.0,272
Malle,161.0,,,,,,1.0,162
Malmedy,,6.0,,,,,221.0,227
Manage,,110.0,33.0,,,,,143
Manhay,,1.0,,117.0,,,,118
Marche-en-Famenne,97.0,,,148.0,,,,245
Marchin,,,,,,,54.0,54
Martelange,,,,,,,27.0,27
Mechelen,,157.0,,,47.0,,488.0,692
Meerhout,,,,,,,99.0,99
Meeuwen-Gruitrode,,,,62.0,,23.0,1.0,86
Meise,,,,,1.0,,126.0,127
Meix-devant-Virton,48.0,,,,,,,48
Melle,,,,,,87.0,36.0,123
Menen,,,,,,,332.0,332
Merbes-le-Château,,48.0,,,,,,48
Merchtem,,,128.0,,,,11.0,139
Merelbeke,,,2.0,,,146.0,73.0,221
Merksplas,,,,,,,112.0,112
Mesen,,,,,,,8.0,8
Messancy,89.0,,,,,,9.0,98
Mettet,,,169.0,,,,6.0,175
Meulebeke,,,,96.0,,,66.0,162
Middelkerke,,,,,363.0,,,363
Modave,,,,,,,49.0,49
Moerbeke,43.0,,,,,5.0,15.0,63
Mol,,,,,,,302.0,302
Molenbeek-Saint-Jean,,,,,,,331.0,331
Momignies,,,,,,,,0
Mons,,303.0,,,32.0,,282.0,617
Mont-Saint-Guibert,1.0,,1.0,,,54.0,8.0,64
Mont-de-l'Enclus,,,,,,,57.0,57
Montigny-le-Tilleul,,,,,,2.0,78.0,80
Moorslede,,,,,,,153.0,153
Morlanwelz,,96.0,,,,,13.0,109
Mortsel,,,,,,,96.0,96
Mouscron,171.0,,,,,,431.0,602
Musson,54.0,,,,,,,54
Namur,,,254.0,1.0,,,675.0,930
Nandrin,,,,34.0,,,31.0,65
Nassogne,125.0,,,,,,,125
Nazareth,,,,,,,179.0,179
Neerpelt,,,,86.0,,,,86
Neufchâteau,127.0,,,,,,,127
Neupré,,,,66.0,1.0,,2.0,69
Nevele,,,132.0,,,6.0,12.0,150
Niel,,,,,,,47.0,47
Nieuwerkerken,,,,,,,47.0,47
Nieuwpoort,,,,,139.0,,103.0,242
Nijlen,,,107.0,,,,,107
Ninove,,,,6.0,,,300.0,306
Nivelles,,,131.0,110.0,,,,241
Ohey,,,,74.0,,,,74
Olen,,,,,,,146.0,146
Olne,,,,,,34.0,,34
Onhaye,,,81.0,,,,,81
Oostende,,,,,119.0,,534.0,653
Oosterzele,49.0,,,,,84.0,,133
Oostkamp,,,,,182.0,,74.0,256
Oostrozebeke,,,,4.0,,,103.0,107
Opglabbeek,,,,,,79.0,1.0,80
Opwijk,,,90.0,,,,2.0,92
Oreye,,,,,34.0,,,34
Orp-Jauche,,76.0,,,1.0,,,77
Ottignies-Louvain-la-Neuve,160.0,,,,,,95.0,255
Oud-Heverlee,,,,,,,84.0,84
Oud-Turnhout,40.0,,,,,,71.0,111
Oudenaarde,,,390.0,,,,15.0,405
Oudenburg,,,,,105.0,,,105
Ouffet,,,,2.0,,,70.0,72
Oupeye,,59.0,,,,82.0,,141
Overijse,46.0,,,,166.0,,,212
Overpelt,,1.0,,143.0,,,,144
Paliseul,132.0,,,,,,,132
Pecq,92.0,,,,,,15.0,107
Peer,,115.0,,14.0,,,,129
Pepingen,,,,44.0,,,,44
Pepinster,,81.0,,,,,2.0,83
Perwez,,45.0,44.0,,,,,89
Philippeville,,,25.0,,,,119.0,144
Pittem,,,,,,,142.0,142
Plombières,,174.0,,,,,,174
Pont-à-Celles,,,1.0,112.0,,4.0,,117
Poperinge,,,,,,,334.0,334
Profondeville,,,1.0,,,,162.0,163
Putte,,105.0,,,,,49.0,154
Puurs,,,85.0,,26.0,88.0,,199
Péruwelz,34.0,,,,97.0,,,131
Quaregnon,,,,,31.0,,49.0,80
Quiévrain,,,,,57.0,,,57
Quévy,,96.0,,,24.0,,,120
Raeren,,,,,,,154.0,154
Ramillies,,64.0,,,,,,64
Ranst,111.0,,,1.0,,,28.0,140
Ravels,179.0,,,,,,3.0,182
Rebecq,,,81.0,,,,,81
Remicourt,,,,,48.0,,,48
Rendeux,,,,83.0,,,,83
Retie,2.0,,,,,,88.0,90
Riemst,,,,,,,91.0,91
Rijkevorsel,2.0,,,,15.0,,101.0,118
Rixensart,42.0,,,,105.0,,,147
Rochefort,152.0,,28.0,,,,9.0,189
Roeselare,,,,,,,763.0,763
Ronse,,,1.0,,,,256.0,257
Roosdaal,,,,,75.0,,,75
Rotselaar,,35.0,,,,1.0,118.0,154
Rouvroy,27.0,,,,,,,27
Ruiselede,,,,,,,65.0,65
Rumes,42.0,,,,,,,42
Rumst,,,74.0,,,,35.0,109
Saint-Georges-sur-Meuse,,,,27.0,38.0,,,65
Saint-Ghislain,,,,,92.0,,90.0,182
Saint-Gilles,,,,,,,187.0,187
Saint-Hubert,105.0,,,,,,,105
Saint-Josse-ten-Noode,,,,,,,126.0,126
Saint-Léger,41.0,,,,,,,41
Saint-Nicolas,,,,,16.0,45.0,2.0,63
Saint-Vith (Sankt Vith),,214.0,,,,,,214
Sainte-Ode,82.0,,,,,,13.0,95
Sambreville,,,4.0,,,,177.0,181
Schaerbeek,,,,,,,348.0,348
Schelle,,,4.0,,,,56.0,60
Scherpenheuvel-Zichem,,,,,,44.0,121.0,165
Schilde,104.0,,,1.0,,,1.0,106
Schoten,20.0,,,6.0,1.0,,178.0,205
Seneffe,,2.0,173.0,,,,4.0,179
Seraing,,,,,140.0,66.0,142.0,348
Silly,,,89.0,,11.0,,,100
Sint-Amands,,,53.0,,,3.0,,56
Sint-Genesius-Rode,6.0,,1.0,,164.0,,1.0,172
Sint-Gillis-Waas,,153.0,,,,,16.0,169
Sint-Katelijne-Waver,,120.0,5.0,,,,116.0,241
Sint-Laureins,,,,,,,101.0,101
Sint-Lievens-Houtem,91.0,,,,,,,91
Sint-Martens-Latem,,,111.0,,,,,111
Sint-Niklaas,186.0,133.0,,,,,354.0,673
Sint-Pieters-Leeuw,,,,,11.0,,277.0,288
Sint-Truiden,,,,,,,299.0,299
Sivry-Rance,,,89.0,,,,,89
Soignies,,38.0,133.0,,72.0,,2.0,245
Sombreffe,,,56.0,35.0,,,5.0,96
Somme-Leuze,,,,143.0,,,,143
Soumagne,,3.0,,,,118.0,,121
Spa,,143.0,,,,,,143
Spiere-Helkijn,,,,,,,45.0,45
Sprimont,,1.0,,,,,121.0,122
Stabroek,,,,,39.0,,12.0,51
Staden,,,,,,,176.0,176
Stavelot,,83.0,,,,,2.0,85
Steenokkerzeel,,,,,,,110.0,110
Stekene,2.0,158.0,,,,,,160
Stoumont,,80.0,,1.0,,,,81
Tellin,47.0,,,,,,,47
Temse,29.0,,,,,,248.0,277
Tenneville,70.0,1.0,,1.0,,,,72
Ternat,,110.0,,,21.0,,,131
Tervuren,44.0,,,72.0,,,9.0,125
Tessenderlo,,,,,,,159.0,159
Theux,,46.0,,,,,141.0,187
Thimister-Clermont,,129.0,,,,,,129
Thuin,,79.0,,,,63.0,2.0,144
Tielt,,,,276.0,,,51.0,327
Tielt-Winge,,,,,81.0,9.0,,90
Tienen,,7.0,,,3.0,,287.0,297
Tinlot,,,,,,,48.0,48
Tintigny,44.0,,,,,,,44
Tongeren,,,,,,,215.0,215
Torhout,,,,,21.0,,180.0,201
Tournai,417.0,,,,,,194.0,611
Tremelo,,61.0,,,,35.0,,96
Trois-Ponts,,79.0,,,,,,79
Trooz,,3.0,,,,59.0,3.0,65
Tubize,,,161.0,,,,3.0,164
Turnhout,52.0,,,,,,353.0,405
Uccle,,,,,55.0,,445.0,500
Vaux-sur-Sûre,,,,,,,79.0,79
Verlaine,,,,,47.0,,,47
Verviers,,2.0,,,,,449.0,451
Veurne,,,,,,,259.0,259
Vielsalm,,157.0,,4.0,,,,161
Villers-la-Ville,,,,73.0,,1.0,,74
Villers-le-Bouillet,,,,,76.0,,,76
Vilvoorde,,,,,,,311.0,311
Viroinval,,,64.0,,,,,64
Virton,102.0,,,,,,2.0,104
Visé,,123.0,,,,,,123
Vleteren,,,,,,,67.0,67
Voeren,,96.0,,,,,,96
Vorselaar,1.0,,42.0,,,,,43
Vosselaar,,,,,,,59.0,59
Vresse-sur-Semois,68.0,,,,,,,68
Waarschoot,,,,,,,75.0,75
Waasmunster,106.0,,,,,,,106
Wachtebeke,2.0,,,,,77.0,,79
Waimes (Weismes),,44.0,,,,,109.0,153
Walcourt,,,218.0,,,,49.0,267
Walhain,,,,,,55.0,,55
Wanze,,,,35.0,80.0,,1.0,116
Waregem,,,,201.0,,,316.0,517
Waremme,,,,,132.0,,,132
Wasseiges,,,,12.0,14.0,,,26
Waterloo,235.0,,,,,,,235
Watermael-Boitsfort,,,,,,,125.0,125
Wavre,383.0,,,,3.0,,3.0,389
Welkenraedt,,17.0,,,,,82.0,99
Wellen,,,,,,,52.0,52
Wellin,14.0,,43.0,,,,,57
Wemmel,,,,,,,80.0,80
Wervik,,,,,,,196.0,196
Westerlo,,,57.0,,,,178.0,235
Wetteren,174.0,,,,,81.0,,255
Wevelgem,,,,,,,361.0,361
Wezembeek-Oppem,,,,67.0,,,6.0,73
Wichelen,92.0,,,,,,,92
Wielsbeke,,,,5.0,,,152.0,157
Wijnegem,6.0,,,73.0,,,15.0,94
Willebroek,,,99.0,,121.0,,,220
Wingene,,,,,103.0,,136.0,239
Woluwe-Saint-Lambert,,,,,,,302.0,302
Woluwe-Saint-Pierre,,,,,,,229.0,229
Wommelgem,,,,116.0,,,16.0,132
Wortegem-Petegem,,,51.0,,,,43.0,94
Wuustwezel,,,,,128.0,,48.0,176
Yvoir,,,47.0,84.0,,,10.0,141
Zandhoven,43.0,,54.0,,,,,97
Zaventem,,,,43.0,,,368.0,411
Zedelgem,,,,,226.0,,9.0,235
Zele,192.0,,,,,,7.0,199
Zelzate,,,,,,58.0,34.0,92
Zemst,,155.0,,,1.0,,6.0,162
Zingem,,,27.0,,,,48.0,75
Zoersel,112.0,,,,,,,112
Zomergem,,,,,,25.0,72.0,97
Zonhoven,,97.0,,,,,1.0,98
Zonnebeke,,,,,,,203.0,203
Zottegem,1.0,,,233.0,,,,234
Zoutleeuw,,53.0,,,19.0,,,72
Zuienkerke,,,,,,,49.0,49
Zulte,,,,,,,185.0,185
Zutendaal,,,,,,3.0,45.0,48
Zwalm,,,,,,,89.0,89
Zwevegem,,,,,,,287.0,287
Zwijndrecht,,,,,,,120.0,120
Écaussinnes,,,81.0,,,,3.0,84
Éghezée,,,191.0,,,,,191
Érezée,,,,71.0,,,,71
Étalle,41.0,,,,,,14.0,55
